"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ICICIBANK","EQ","12-Aug-2016","        242.70","        243.50","        247.60","        241.20","        245.10","        245.95","        245.10","   10661351","          2613043906.15","      70337"
"ICICIBANK","EQ","16-Aug-2016","        245.95","        246.00","        249.45","        243.85","        247.55","        248.55","        247.23","   11919568","          2946846245.05","      83064"
"ICICIBANK","EQ","17-Aug-2016","        248.55","        248.10","        251.60","        245.20","        247.00","        247.60","        248.47","   11704650","          2908263415.85","      82947"
"ICICIBANK","EQ","18-Aug-2016","        247.60","        247.85","        253.80","        247.75","        252.50","        252.90","        252.15","   18841208","          4750770539.10","      99475"
"ICICIBANK","EQ","19-Aug-2016","        252.90","        253.00","        255.70","        251.55","        253.90","        253.90","        254.03","   13199558","          3353134014.05","     120047"
"ICICIBANK","EQ","22-Aug-2016","        253.90","        254.25","        254.95","        248.70","        252.50","        252.25","        252.05","    8251675","          2079849627.85","      70598"
"ICICIBANK","EQ","23-Aug-2016","        252.25","        250.45","        252.00","        248.75","        250.25","        250.20","        250.09","    9996201","          2499915170.65","      57900"
"ICICIBANK","EQ","24-Aug-2016","        250.20","        250.20","        251.70","        247.85","        248.25","        248.45","        249.74","    8389418","          2095153849.10","      66258"
"ICICIBANK","EQ","25-Aug-2016","        248.45","        247.95","        250.20","        246.10","        247.00","        246.95","        248.20","   13546690","          3362351261.35","      78509"
"ICICIBANK","EQ","26-Aug-2016","        246.95","        248.20","        248.80","        243.20","        245.75","        245.30","        245.73","   10445840","          2566813443.10","      72754"
"ICICIBANK","EQ","29-Aug-2016","        245.30","        245.00","        252.65","        244.60","        250.50","        250.50","        247.63","    8369603","          2072553899.35","      84036"
"ICICIBANK","EQ","30-Aug-2016","        250.50","        252.00","        256.90","        252.00","        255.90","        256.25","        255.22","   13864560","          3538507148.50","     120084"
"ICICIBANK","EQ","31-Aug-2016","        256.25","        257.10","        260.85","        257.00","        257.85","        258.00","        258.79","   15369111","          3977318530.00","     151746"
"ICICIBANK","EQ","01-Sep-2016","        258.00","        258.75","        264.00","        258.75","        261.10","        260.95","        261.78","   16453500","          4307153412.05","     104259"
"ICICIBANK","EQ","02-Sep-2016","        260.95","        262.50","        264.30","        260.25","        261.65","        261.30","        261.91","    7303642","          1912868045.05","      51072"
"ICICIBANK","EQ","06-Sep-2016","        261.30","        262.70","        273.90","        262.70","        272.40","        272.70","        269.11","   21158220","          5693836841.95","     142266"
"ICICIBANK","EQ","07-Sep-2016","        272.70","        274.00","        283.75","        272.15","        278.00","        278.15","        277.76","   32162895","          8933514550.75","     227167"
"ICICIBANK","EQ","08-Sep-2016","        278.15","        278.60","        280.70","        275.55","        276.50","        276.35","        278.28","   11924069","          3318229289.45","     105946"
"ICICIBANK","EQ","09-Sep-2016","        276.35","        274.55","        276.00","        270.10","        274.00","        274.10","        273.29","   15136252","          4136581700.30","      84557"
"ICICIBANK","EQ","12-Sep-2016","        274.10","        267.00","        269.45","        262.70","        267.85","        268.20","        267.06","   18743066","          5005529291.55","     111201"
"ICICIBANK","EQ","14-Sep-2016","        268.20","        266.70","        273.80","        266.35","        271.85","        271.45","        271.36","   15279813","          4146320647.70","     108921"
"ICICIBANK","EQ","15-Sep-2016","        271.45","        271.70","        273.75","        268.20","        270.50","        270.60","        270.01","   11032157","          2978799303.85","      85920"
"ICICIBANK","EQ","16-Sep-2016","        270.60","        271.75","        275.60","        266.30","        267.90","        267.35","        270.34","   29959544","          8099408333.65","     124794"
"ICICIBANK","EQ","19-Sep-2016","        267.35","        268.00","        272.40","        267.80","        271.85","        271.60","        271.21","   13767636","          3733887555.80","      90312"
"ICICIBANK","EQ","20-Sep-2016","        271.60","        271.90","        274.20","        269.35","        272.50","        272.10","        271.67","   10027634","          2724223147.05","      76644"
"ICICIBANK","EQ","21-Sep-2016","        272.10","        272.80","        273.00","        266.95","        270.00","        269.90","        270.18","   11578862","          3128421884.00","      55080"
"ICICIBANK","EQ","22-Sep-2016","        269.90","        276.00","        277.90","        272.30","        275.05","        275.50","        275.17","   13532986","          3723877277.70","      86239"
"ICICIBANK","EQ","23-Sep-2016","        275.50","        275.80","        275.85","        269.90","        271.15","        271.25","        272.83","   16343247","          4458891912.80","      84233"
