"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATFIN","EQ","12-Aug-2016","        794.65","        803.35","        816.95","        799.25","        808.65","        811.80","        809.84","     773745","           626607067.45","      18311","     122384","         15.82"
"BHARATFIN","EQ","16-Aug-2016","        811.80","        803.10","        805.95","        780.40","        780.55","        784.15","        790.50","     924095","           730501688.80","      29085","     294457","         31.86"
"BHARATFIN","EQ","17-Aug-2016","        784.15","        784.15","        787.50","        742.00","        744.00","        744.95","        759.25","    2064320","          1567331929.30","      46394","     644118","         31.20"
"BHARATFIN","EQ","18-Aug-2016","        744.95","        744.50","        806.70","        733.00","        800.00","        795.90","        769.87","    3928444","          3024372895.20","      70274","    1074511","         27.35"
"BHARATFIN","EQ","19-Aug-2016","        795.90","        801.95","        807.85","        780.60","        784.00","        786.25","        795.08","    1550229","          1232551114.05","      37416","     296160","         19.10"
"BHARATFIN","EQ","22-Aug-2016","        786.25","        788.00","        795.50","        744.00","        747.00","        748.05","        762.31","    1767151","          1347125060.95","      50519","     439737","         24.88"
"BHARATFIN","EQ","23-Aug-2016","        748.05","        750.00","        770.00","        748.05","        760.60","        760.15","        761.81","    2082362","          1586366196.50","      48097","     706594","         33.93"
"BHARATFIN","EQ","24-Aug-2016","        760.15","        763.95","        764.70","        741.60","        755.60","        755.90","        752.50","    1672203","          1258329402.35","      35702","     549801","         32.88"
"BHARATFIN","EQ","25-Aug-2016","        755.90","        758.95","        782.00","        758.95","        764.25","        764.65","        770.17","    2769433","          2132922182.60","      41925","     722113","         26.07"
"BHARATFIN","EQ","26-Aug-2016","        764.65","        767.40","        791.70","        767.00","        785.50","        784.15","        783.53","    1868096","          1463705603.40","      38667","     522983","         28.00"
"BHARATFIN","EQ","29-Aug-2016","        784.15","        782.60","        796.00","        772.80","        791.15","        792.60","        785.42","    1158254","           909720644.95","      22982","     262564","         22.67"
"BHARATFIN","EQ","30-Aug-2016","        792.60","        798.80","        822.90","        797.15","        817.00","        818.10","        814.40","    1713176","          1395218037.90","      35967","     510709","         29.81"
"BHARATFIN","EQ","31-Aug-2016","        818.10","        818.00","        829.50","        777.35","        819.80","        819.50","        817.16","    1470929","          1201984591.00","      36567","     424640","         28.87"
"BHARATFIN","EQ","01-Sep-2016","        819.50","        820.10","        826.70","        803.00","        805.00","        805.40","        814.82","    1067576","           869880408.20","      30077","     348330","         32.63"
"BHARATFIN","EQ","02-Sep-2016","        805.40","        811.00","        816.80","        800.90","        809.05","        809.40","        809.05","     747494","           604758342.50","      19935","     218068","         29.17"
"BHARATFIN","EQ","06-Sep-2016","        809.40","        815.75","        832.80","        811.80","        830.70","        829.15","        824.96","    1483714","          1223999299.30","      23989","     707938","         47.71"
"BHARATFIN","EQ","07-Sep-2016","        829.15","        836.40","        836.40","        814.35","        820.85","        817.80","        825.01","     617425","           509379570.25","      14685","     178983","         28.99"
"BHARATFIN","EQ","08-Sep-2016","        817.80","        821.80","        827.95","        812.20","        812.90","        814.15","        818.87","     726882","           595218265.30","      19157","     264285","         36.36"
"BHARATFIN","EQ","09-Sep-2016","        814.15","        815.65","        815.95","        774.00","        780.00","        779.90","        786.01","    2264948","          1780262727.65","      62203","     988301","         43.63"
"BHARATFIN","EQ","12-Sep-2016","        779.90","        758.95","        758.95","        721.40","        731.00","        730.70","        742.90","    2176620","          1617011440.20","      60768","    1114693","         51.21"
"BHARATFIN","EQ","14-Sep-2016","        730.70","        729.20","        779.80","        726.00","        774.00","        775.40","        755.13","    1628257","          1229544138.35","      40208","     451006","         27.70"
"BHARATFIN","EQ","15-Sep-2016","        775.40","        777.40","        777.40","        756.25","        766.35","        762.35","        764.11","     746874","           570695526.55","      14493","     147186","         19.71"
"BHARATFIN","EQ","16-Sep-2016","        762.35","        774.00","        789.85","        746.15","        755.00","        753.75","        772.89","    1198067","           925973629.75","      24351","     188684","         15.75"
"BHARATFIN","EQ","19-Sep-2016","        753.75","        756.70","        781.00","        756.05","        769.95","        769.35","        773.32","    1091990","           844460291.85","      24704","     267733","         24.52"
"BHARATFIN","EQ","20-Sep-2016","        769.35","        769.35","        787.00","        769.35","        779.00","        781.20","        779.63","     865039","           674412482.85","      23123","     263788","         30.49"
"BHARATFIN","EQ","21-Sep-2016","        781.20","        783.00","        795.00","        773.00","        777.00","        778.55","        785.67","    1200133","           942903467.65","      27097","     390500","         32.54"
"BHARATFIN","EQ","22-Sep-2016","        778.55","        794.10","        815.95","        784.80","        811.00","        812.30","        803.91","    2482486","          1995694320.05","      41863","     751981","         30.29"
"BHARATFIN","EQ","23-Sep-2016","        812.30","        825.00","        868.80","        817.20","        850.00","        847.20","        846.21","    6809598","          5762383236.95","      98300","    1823905","         26.78"
"BHARATFIN","EQ","26-Sep-2016","        847.20","        845.05","        864.75","        838.80","        848.70","        849.80","        855.69","    2488392","          2129293785.45","      56794","     915351","         36.78"
"BHARATFIN","EQ","27-Sep-2016","        849.80","        860.20","        868.90","        853.25","        860.05","        856.85","        859.73","    2584348","          2221831687.25","      53987","    1424552","         55.12"
"BHARATFIN","EQ","28-Sep-2016","        856.85","        863.70","        867.65","        851.40","        865.95","        864.05","        859.45","    1456864","          1252108552.70","      35552","     502095","         34.46"
"BHARATFIN","EQ","29-Sep-2016","        864.05","        873.70","        877.50","        817.50","        838.90","        833.45","        844.61","    2835376","          2394798105.65","      39358","    1029703","         36.32"
"BHARATFIN","EQ","30-Sep-2016","        833.45","        838.80","        882.70","        821.50","        881.60","        880.65","        856.44","    2590044","          2218225497.30","      49690","    1163865","         44.94"
"BHARATFIN","EQ","03-Oct-2016","        880.65","        889.00","        925.00","        886.00","        921.60","        920.85","        915.87","    2231066","          2043377138.20","      76334","     742998","         33.30"
"BHARATFIN","EQ","04-Oct-2016","        920.85","        927.00","        928.05","        903.60","        921.50","        919.70","        913.71","    1579385","          1443092400.80","      33736","     474548","         30.05"
"BHARATFIN","EQ","05-Oct-2016","        919.70","        926.00","        930.00","        897.35","        901.50","        902.25","        912.88","     973204","           888417182.65","      29922","     334569","         34.38"
"BHARATFIN","EQ","06-Oct-2016","        902.25","        909.75","        915.00","        882.20","        887.00","        886.95","        897.99","    1621014","          1455659844.90","      37684","     774380","         47.77"
"BHARATFIN","EQ","07-Oct-2016","        886.95","        890.00","        891.45","        867.00","        881.50","        882.20","        877.49","    1010682","           886863883.65","      22873","     316407","         31.31"
