"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","20-Aug-2015","        278.00","        277.65","        281.65","        268.00","        270.00","        270.55","        274.01","   14577599","          3994370493.20","     118110","    4672039","         32.05"
"SBIN","EQ","21-Aug-2015","        270.55","        261.50","        268.90","        256.20","        267.05","        267.50","        263.00","   19030056","          5004965528.05","     161875","    7052850","         37.06"
"SBIN","EQ","24-Aug-2015","        267.50","        254.70","        257.70","        242.40","        243.90","        245.40","        252.16","   29561705","          7454137588.35","     247643","   12870857","         43.54"
"SBIN","EQ","25-Aug-2015","        245.40","        250.00","        254.80","        240.00","        254.20","        253.35","        249.30","   23492839","          5856737558.00","     202892","    7841098","         33.38"
"SBIN","EQ","26-Aug-2015","        253.35","        252.50","        253.30","        245.00","        245.75","        245.70","        248.55","   16325529","          4057677992.25","     152198","    5954197","         36.47"
"SBIN","EQ","27-Aug-2015","        245.70","        251.15","        252.00","        248.10","        249.15","        249.45","        249.86","   21076926","          5266344280.55","     127816","   11360023","         53.90"
"SBIN","EQ","28-Aug-2015","        249.45","        254.50","        255.90","        247.45","        248.50","        248.95","        252.08","   16644381","          4195788726.30","     138473","    5812100","         34.92"
"SBIN","EQ","31-Aug-2015","        248.95","        249.00","        251.35","        245.00","        247.00","        247.35","        248.07","   21645114","          5369451644.40","     138355","    8027845","         37.09"
"SBIN","EQ","01-Sep-2015","        247.35","        244.85","        244.85","        237.70","        239.30","        239.10","        240.53","   19689080","          4735774884.85","     171521","    7453161","         37.85"
"SBIN","EQ","02-Sep-2015","        239.10","        242.65","        243.00","        230.10","        230.35","        230.55","        234.21","   23655457","          5540317218.70","     202382","    7928836","         33.52"
"SBIN","EQ","03-Sep-2015","        230.55","        232.65","        235.40","        231.00","        231.85","        232.25","        232.94","   14680299","          3419690794.45","     123875","    4207804","         28.66"
"SBIN","EQ","04-Sep-2015","        232.25","        231.90","        231.90","        224.00","        225.00","        225.15","        226.12","   20466346","          4627819193.70","     180922","    7271427","         35.53"
"SBIN","EQ","07-Sep-2015","        225.15","        227.10","        227.50","        220.15","        221.10","        221.10","        224.11","   15424783","          3456917292.85","     170823","    4118372","         26.70"
"SBIN","EQ","08-Sep-2015","        221.10","        223.00","        230.25","        221.15","        228.05","        228.35","        226.27","   16189253","          3663178089.35","     149759","    3908614","         24.14"
"SBIN","EQ","09-Sep-2015","        228.35","        233.95","        234.50","        229.10","        231.20","        231.65","        232.22","   18237115","          4235061103.05","     121876","    6695090","         36.71"
"SBIN","EQ","10-Sep-2015","        231.65","        227.35","        229.80","        224.10","        229.60","        227.45","        226.04","   14195882","          3208874369.70","     117419","    4234502","         29.83"
"SBIN","EQ","11-Sep-2015","        227.45","        230.90","        233.30","        228.00","        230.50","        230.10","        230.80","   13650937","          3150573922.10","     105226","    3744398","         27.43"
"SBIN","EQ","14-Sep-2015","        230.10","        231.55","        236.00","        230.00","        235.30","        235.25","        233.36","   10671222","          2490210168.25","      84874","    3029759","         28.39"
"SBIN","EQ","15-Sep-2015","        235.25","        235.20","        238.45","        232.65","        232.90","        234.00","        235.23","   13193410","          3103447869.85","     112433","    3992450","         30.26"
"SBIN","EQ","16-Sep-2015","        234.00","        236.40","        237.75","        235.00","        236.85","        236.80","        236.38","   11272509","          2664599550.80","      70760","    4297330","         38.12"
"SBIN","EQ","18-Sep-2015","        236.80","        240.00","        246.45","        239.50","        240.70","        242.00","        243.58","   16049395","          3909275387.90","     132524","    4918010","         30.64"
"SBIN","EQ","21-Sep-2015","        242.00","        239.55","        246.00","        237.25","        245.75","        245.25","        242.60","    9602436","          2329534017.70","      84490","    1672108","         17.41"
"SBIN","EQ","22-Sep-2015","        245.25","        247.95","        248.45","        236.25","        237.60","        237.95","        242.99","   13667322","          3321055055.95","     110945","    4297437","         31.44"
"SBIN","EQ","23-Sep-2015","        237.95","        235.00","        241.90","        233.60","        240.35","        239.85","        238.33","   13614082","          3244638864.90","     102490","    3671583","         26.97"
"SBIN","EQ","24-Sep-2015","        239.85","        239.45","        241.45","        238.05","        239.45","        239.05","        239.63","    9299508","          2228434678.65","      72488","    2420938","         26.03"
"SBIN","EQ","28-Sep-2015","        239.05","        241.00","        243.65","        238.65","        240.90","        239.45","        241.43","    8588230","          2073482018.85","      70451","    1825740","         21.26"
"SBIN","EQ","29-Sep-2015","        239.45","        236.00","        245.40","        232.20","        241.60","        241.90","        240.62","   24488685","          5892390894.90","     173990","    5403503","         22.07"
"SBIN","EQ","30-Sep-2015","        241.90","        244.85","        245.40","        235.70","        237.95","        237.15","        239.27","   17011911","          4070514576.55","     129082","    5875189","         34.54"
"SBIN","EQ","01-Oct-2015","        237.15","        241.20","        241.90","        234.40","        235.50","        235.15","        237.28","   11590498","          2750146367.00","      79332","    3360918","         29.00"
"SBIN","EQ","05-Oct-2015","        235.15","        238.10","        241.35","        237.25","        241.20","        240.00","        239.63","   18307463","          4387085731.80","      76607","   10157446","         55.48"
"SBIN","EQ","06-Oct-2015","        240.00","        242.70","        242.80","        237.70","        239.95","        240.10","        240.17","   10087077","          2422565710.80","      73164","    2893203","         28.68"
"SBIN","EQ","07-Oct-2015","        240.10","        240.15","        244.25","        239.05","        243.65","        243.55","        242.42","   10608795","          2571813325.85","      78909","    2611552","         24.62"
"SBIN","EQ","08-Oct-2015","        243.55","        242.45","        245.20","        241.10","        243.50","        243.30","        243.17","    9230511","          2244606517.55","      76269","    2343586","         25.39"
"SBIN","EQ","09-Oct-2015","        243.30","        245.50","        247.80","        240.65","        242.90","        243.45","        244.94","   12171416","          2981319882.85","     105441","    4413072","         36.26"
"SBIN","EQ","12-Oct-2015","        243.45","        244.10","        245.65","        241.30","        244.15","        244.55","        244.27","    7566962","          1848345476.65","      57702","    2819307","         37.26"
"SBIN","EQ","13-Oct-2015","        244.55","        244.00","        247.50","        242.05","        243.90","        243.80","        244.56","   10200698","          2494711840.15","      73013","    4105359","         40.25"
"SBIN","EQ","14-Oct-2015","        243.80","        243.70","        246.80","        243.20","        245.00","        244.25","        244.82","    7895820","          1933055774.15","      55278","    3212893","         40.69"
"SBIN","EQ","15-Oct-2015","        244.25","        246.00","        249.90","        245.50","        249.05","        248.95","        248.42","   11582401","          2877244322.10","      86325","    3894772","         33.63"
"SBIN","EQ","16-Oct-2015","        248.95","        249.85","        257.15","        248.35","        256.80","        254.85","        251.84","   11738832","          2956324781.25","      84407","    3725598","         31.74"
"SBIN","EQ","19-Oct-2015","        254.85","        256.65","        257.10","        253.50","        254.05","        254.50","        255.14","    8969153","          2288375315.90","      60162","    3568861","         39.79"
"SBIN","EQ","20-Oct-2015","        254.50","        254.50","        257.10","        253.20","        254.80","        254.85","        255.05","    8811740","          2247391991.15","      58553","    3517593","         39.92"
"SBIN","EQ","21-Oct-2015","        254.85","        254.00","        255.90","        248.55","        249.40","        249.80","        251.41","    8606466","          2163720287.60","      58318","    2410439","         28.01"
"SBIN","EQ","23-Oct-2015","        249.80","        253.00","        254.85","        252.00","        253.15","        253.40","        253.43","    7544810","          1912097227.10","      77411","    2907459","         38.54"
"SBIN","EQ","26-Oct-2015","        253.40","        254.75","        256.00","        250.35","        251.40","        251.25","        253.24","   13085058","          3313622323.95","      82870","    5753097","         43.97"
"SBIN","EQ","27-Oct-2015","        251.25","        250.10","        252.20","        248.10","        248.40","        248.80","        250.09","    6565348","          1641911911.80","      59563","    2711105","         41.29"
"SBIN","EQ","28-Oct-2015","        248.80","        248.00","        249.45","        241.20","        241.70","        242.05","        243.96","   12310403","          3003224122.55","      92805","    5871480","         47.70"
"SBIN","EQ","29-Oct-2015","        242.05","        241.50","        241.80","        236.45","        237.00","        236.95","        238.58","   16114932","          3844693901.20","      92417","    7947307","         49.32"
"SBIN","EQ","30-Oct-2015","        236.95","        238.70","        240.40","        235.10","        237.25","        237.05","        237.93","    8669606","          2062774692.80","      74888","    3122553","         36.02"
"SBIN","EQ","02-Nov-2015","        237.05","        238.00","        238.00","        232.70","        237.45","        236.90","        235.49","    7611610","          1792459354.30","      72432","    1800392","         23.65"
"SBIN","EQ","03-Nov-2015","        236.90","        239.35","        239.70","        235.00","        236.55","        235.95","        237.25","    8323201","          1974697011.20","      70852","    2819673","         33.88"
"SBIN","EQ","04-Nov-2015","        235.95","        239.20","        240.50","        237.00","        238.85","        239.00","        238.81","    8418352","          2010387005.65","      54933","    3210999","         38.14"
"SBIN","EQ","05-Nov-2015","        239.00","        238.00","        239.00","        233.10","        234.00","        233.90","        236.12","    8906564","          2103032196.70","      78782","    2876222","         32.29"
"SBIN","EQ","06-Nov-2015","        233.90","        235.60","        244.80","        233.00","        243.90","        243.00","        241.02","   30821077","          7428582285.70","     205921","    5847777","         18.97"
"SBIN","EQ","09-Nov-2015","        243.00","        236.00","        248.30","        235.60","        245.65","        246.10","        244.83","   22806485","          5583806351.90","     169076","    8669018","         38.01"
"SBIN","EQ","10-Nov-2015","        246.10","        244.90","        247.25","        240.10","        241.30","        241.20","        243.15","   11767845","          2861354210.50","      81141","    2845909","         24.18"
"SBIN","EQ","11-Nov-2015","        241.20","        243.00","        244.25","        242.55","        243.20","        243.15","        243.28","    2061681","           501567838.40","      24738","     830764","         40.30"
"SBIN","EQ","13-Nov-2015","        243.15","        241.50","        241.80","        237.70","        240.30","        240.25","        239.92","    9082062","          2178937151.15","      68168","    2716416","         29.91"
"SBIN","EQ","16-Nov-2015","        240.25","        239.50","        249.35","        239.10","        249.00","        248.30","        245.34","   14051479","          3447347315.85","      99089","    4847882","         34.50"
"SBIN","EQ","17-Nov-2015","        248.30","        250.00","        251.65","        246.70","        247.60","        247.85","        248.93","   11273394","          2806306058.50","      82525","    2733402","         24.25"
"SBIN","EQ","18-Nov-2015","        247.85","        247.60","        248.70","        239.45","        240.45","        241.00","        243.75","   10397889","          2534511721.90","      77659","    2986573","         28.72"
"SBIN","EQ","19-Nov-2015","        241.00","        243.05","        245.00","        241.40","        244.25","        243.90","        243.54","    7325199","          1783978177.10","      51700","    1940649","         26.49"
